example_id,split,gold_label,legacy_fusion_v1_on_v031_evidence,integrity_fusion_v2_score,delta,v031_decision,reason_codes
aapl-2024,train,0,28,28,0,PASS,UNVALIDATED_RELIABILITY
msft-2024,validation,0,24,28,4,PASS,UNVALIDATED_RELIABILITY
intc-2024,test,1,73,73,0,FLAG,UNVALIDATED_RELIABILITY
